"Sample";"Zone";"Profondeur";"Date";"Longitude";"Latitude";"RHO";"Recouvrement_Rhodolithes_video";"CaCO3";"LOI_550";"Mean";"Median";"Mode";"SD";"Variance";"CV";"Skewness";"Kurtosis";"d10";"d50";"d90";"pc_2";"pc_4";"pc_63";"pc_125";"pc_250";"pc_500";"pc_1000";"pc_2000";"pc_2500";"pc_4000";"min_bathy";"mean_bathy";"max_bathy";"min_ag";"mean_ag";"max_ag";"min_am";"mean_am";"max_am";"min_aq";"mean_aq";"max_aq";"min_co";"mean_co";"max_co";"min_er";"mean_er";"max_er";"min_in";"mean_in";"max_in";"min_mo_ais";"mean_mo_ais";"max_mo_ais";"min_mo_pp";"mean_mo_pp";"max_mo_pp";"min_pe";"mean_pe";"max_pe";"min_po";"mean_po";"max_po";"min_re";"mean_re";"max_re";"min_to";"mean_to";"max_to";"min_tm";"mean_tm";"max_tm";"p_mean_cum";"dist_land";"dist_ports"
"T13S0210";"Bastia";54.5;"2022-02-08";9.60348333333333;42.5101333333333;"1";"50-90%";49.5867768595041;6.01202084465617;943.996;954.582;1314.59;552.836;305627;58.5633;0.0893588;-0.811887;159.998;954.582;1677.45;0.899327;0.530683;4.34172;2.72114;5.16883;11.3169;27.7848;45.5907;1.6459;0;-56.3153839111328;-55.0486383109257;-53.6837387084961;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.03241718534749e-09;1.52630814653776e-08;0;0;0;0;0;0;0;0;0;0.00102502782829106;0.00104918859045332;0.00107264111284167;0.0010491926228705;5813.28158977059;19574.2645769611
"T13S0211";"Bastia";82.9;"2022-02-08";9.62101666666667;42.5056166666667;NA;NA;41.5977961432507;4.510527891428;544.003;411.674;567.782;448.835;201453;82.5059;1.00695;0.231806;99.3913;411.674;1232.89;0.559492;0.407695;4.226073;9.89244;19.9982;21.8867;25.7934;17.236;0;0;-84.6192245483398;-83.1292429956897;-81.508056640625;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.94052040064707e-06;4.44255738329957e-06;5.00852229379234e-06;0;0;0;0;0;0;0;0;0;0.000996931456029415;0.000998311171618601;0.000999687821604311;0.0010027537290019;7327.13605137219;19537.4809372265
"T13S0620";"Ajaccio";5.47;"2022-02-26";8.77318333333333;41.9262166666667;NA;"0";3.22147651006711;1.33862252477263;185.95;157.471;153.824;124.803;15575.7;67.1161;1.15727;1.37964;51.5325;157.471;370.983;0.753165;0.329965;11.80607;22.5189;40.9371;21.2695;2.3853;0;0;0;-8.11281871795654;-5.01812443562916;-2.77792644500732;0.268303066492081;0.288917197335151;0.31102991104126;0.545408427715302;0.570281765153331;0.598556578159332;0;0;0;0.15955351293087;0.187780846991847;0.207460641860962;0.1991256326437;0.344917277655294;0.473894894123077;0;0;0;0;0.000409037520688388;0.00360325677320361;0.000223124661715701;0.00174541054800483;0.00702842604368925;0;0;0;0.88067090511322;0.928487023999614;0.97040718793869;0.0310715567320585;0.0545150777625461;0.0705199241638184;0.565367162227631;0.639715640775619;0.709302365779877;0.000270872231340036;0.000440211403333852;0.000651188311167061;3.01720948914543;142.67343855214;2678.44807609331
"T13S0621";"Ajaccio";7.53;"2022-02-26";8.78885;41.915;NA;"0";2.41610738255034;1.02243543150649;249.12;212.101;223.389;174.454;30434.2;70.0281;1.14668;1.71426;54.209;212.101;489.247;0.380412;0.203319;11.237269;13.9112;33.0108;31.9573;9.1176;0.182100000000005;0;0;-10.0621671676636;-7.28482823536314;-4.68460941314697;0.542407691478729;0.564930576086044;0.592589020729065;0.112165458500385;0.136576131731272;0.160446241497993;0;0;0;0.343861877918243;0.370938593149185;0.397767126560211;0.45133113861084;0.604838460683823;0.761778235435486;0;0;0;0;0;0;0;0;0;0;0;0;0.848573744297028;0.897460599740346;0.942737579345703;0.62858372926712;0.659226834774017;0.690410733222961;0.789329290390015;0.856265324354172;0.920201480388641;9.74921713350341e-05;0.000171584147756221;0.000261542882071808;4.09040810466662;167.089927493901;3862.53742218269
"T13S0622";"Ajaccio";69.35;"2022-02-26";8.78145;41.9119333333333;NA;NA;4.56375838926174;18.5257416742418;53.2384;36.2904;41.6768;53.7081;2884.56;100.882;1.53009;2.05272;3.6245;36.2904;131.106;5.86249;4.99361;58.6527;19.6665;10.4398;0.384900000000002;0;0;0;0;-98.6516571044922;-89.6005187988281;-82.062858581543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00105850747786462;0.00113117515502381;0.00124516722280532;0.00113117515502381;869.561944183439;3301.88779457353
"T13S0623";"Ajaccio";5.06;"2022-02-26";8.75456666666667;41.91345;NA;"0";1.61073825503356;0.963538633073173;515.175;475.437;517.186;317.852;101030;61.6979;1.15477;2.01734;146.332;475.437;905.226;0.250363;0.121799;2.880018;4.76501;11.71831;34.0792;38.7207;7.4646;0;0;-278.738037109375;-264.558219663558;-253.181518554688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.57345038032508e-06;1.07182118824767e-05;1.7462180039729e-05;0;0;0;0;0;0;0;0;0;0.00687872897833586;0.00774321425706148;0.0086625823751092;0.00775393246894396;981.966518554668;1116.41428912354
"T13S0667";"Cargese";75.65;"2022-02-28";8.54783333333333;41.9556666666667;"1";"0";NA;NA;1602.4;1534.19;2236.07;781.981;611495;48.8007;0.428044;-0.165426;704.127;1534.19;2730.13;0.428616;0.285011;1.725263;0.67696;0.40347;1.9639;16.84178;53.2358;12.6269;11.8123;-88.0652389526367;-82.3267412821452;-78.6434783935547;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00374138588085771;0.00379070552098083;0.00383721012622118;0.00379070552098083;3616.20191457345;16334.3128750651
"T13S0668";"Cargese";56.25;"2022-02-28";8.56188333333333;41.9589333333333;"1";"<10%";33.2402234636872;6.35165126370535;1379.09;1341.15;1739.11;653.276;426769;47.3701;2.25416;12.4479;690.816;1341.15;1942.01;0.215365;0.119283;0.556772;0.27224;0.61838;3.09526;20.1976;68.2084;3.5873;2.40430000000001;-52.7365798950195;-52.0352239608765;-51.2545204162598;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.23443502484133e-10;3.52590871553357e-09;1.26449588577771e-08;0;0;0;0;0;0;0;0;0;0.00471072923392057;0.00476232414404231;0.00481475191190839;0.00476232766995102;2402.43216786887;15255.7836757227
"T13S0669";"Cargese";40.89;"2022-02-28";8.5711;41.9606833333333;"1";"<10%";41.6201117318436;5.8718628317136;1306.72;1262.58;1314.59;528.921;279758;40.4769;1.38106;7.61367;730.138;1262.58;1893.98;0.149431;0.080719;0.536987;0.409063;0.36219;1.39731;25.4134;66.4959;3.2903;1.7195;-43.2243919372559;-40.6020655478201;-38.5477523803711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.03049421543255e-06;3.59780974577006e-06;5.82855636821478e-06;0;0;0;0;0;0;0;0;0;0.00587962754070759;0.00596416213860114;0.00605518184602261;0.00596775994834691;1617.65745942715;14550.6675515402
"T13S0808";"Propriano";76.5;"2022-03-05";8.82126666666667;41.6416666666667;NA;"0";48.7465181058496;8.03983335026925;526.791;442.609;517.184;414.745;172014;78.7306;1.03725;0.719748;65.4239;442.609;1130.68;0.724183;0.686247;8.28511;6.95126;12.8761;26.543;30.2037;13.7304;0;0;-75.1704330444336;-72.3622947692871;-69.5454635620117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00803861860185862;0.00829505743458867;0.00858569890260696;0.00829505743458867;775.827451705841;7596.49186742462
